age,business_travel,daily_rate,department,distance_from_home,education,education_field,environment_satisfaction,gender,hourly_rate,job_involvement,job_level,job_role,job_satisfaction,marital_status,monthly_income,monthly_rate,num_companies_worked,over_time,percent_salary_hike,performance_rating,relationship_satisfaction,stock_option_level,total_working_years,training_times_last_year,work_life_balance,years_at_company,years_in_current_role,years_since_last_promotion,years_with_curr_manager,attrition
47,travel_rarely,1361,human_resources,4,2,marketing,4,female,83,3,5,human_resources,3,single,10513,13805,4,yes,13,4,4,0,7,3,3,8,5,6,4,no
48,travel_frequently,222,research_&_development,24,5,life_sciences,1,male,70,2,1,research_scientist,4,single,1174,26236,6,yes,16,3,2,0,8,0,3,9,5,3,2,no
55,travel_rarely,1383,sales,7,3,technical_degree,4,male,75,4,1,manager,1,single,2386,4781,3,no,11,3,3,1,0,2,2,0,0,0,4,yes
28,travel_rarely,392,sales,10,4,medical,3,female,60,2,1,manager,2,single,10339,5250,1,no,20,4,4,2,6,2,3,6,3,0,2,no
52,travel_rarely,1005,sales,2,3,life_sciences,3,male,75,3,2,sales_executive,2,single,7062,19053,4,no,13,3,3,3,4,3,3,4,1,0,8,no
25,travel_rarely,633,research_&_development,5,4,life_sciences,2,female,52,1,4,manufacturing_director,1,married,6281,13133,4,no,13,3,1,0,0,0,4,0,0,3,1,yes
20,travel_frequently,1466,research_&_development,19,3,medical,2,male,96,3,1,research_scientist,2,single,4173,2496,3,yes,14,3,3,0,2,3,3,2,0,0,1,yes
31,travel_rarely,451,research_&_development,2,1,technical_degree,1,male,52,3,2,research_scientist,2,married,8904,10538,0,no,12,3,3,1,15,4,3,17,13,1,3,yes
30,travel_rarely,275,sales,5,2,medical,4,female,50,3,1,sales_executive,4,divorced,4597,3723,4,no,11,3,3,1,5,3,3,6,4,0,2,no
49,travel_rarely,1359,research_&_development,4,3,life_sciences,3,female,74,3,3,research_scientist,2,married,7544,26446,0,yes,19,3,4,3,3,4,3,3,3,2,2,no
51,travel_rarely,445,sales,1,4,technical_degree,3,female,59,1,1,sales_representative,2,divorced,3550,17387,2,no,12,3,1,0,0,3,3,0,0,0,6,no
36,travel_rarely,1506,sales,3,1,medical,4,male,37,2,2,manager,4,single,7812,4803,3,no,17,3,4,1,8,3,3,9,4,0,3,no
55,travel_rarely,240,research_&_development,2,3,medical,4,male,55,4,3,healthcare_representative,3,married,13818,17818,6,no,13,4,4,1,8,2,3,9,7,2,8,no
33,travel_rarely,609,research_&_development,27,3,medical,3,male,70,4,2,manufacturing_director,3,married,5858,15050,3,yes,12,3,4,0,6,2,4,7,6,1,3,no
19,travel_rarely,1482,research_&_development,14,4,life_sciences,3,female,43,3,1,research_director,3,single,7057,23301,1,no,11,3,3,1,4,2,2,5,0,3,0,no
57,non-travel,230,sales,4,4,medical,1,female,47,2,1,sales_executive,3,single,6865,13617,3,yes,11,3,3,0,3,0,2,3,3,0,8,yes
34,travel_rarely,721,research_&_development,14,3,life_sciences,4,female,109,3,3,research_scientist,2,married,8260,6137,3,no,13,3,3,1,6,5,3,6,3,1,7,no
51,travel_rarely,269,research_&_development,1,2,other,4,male,116,3,3,research_scientist,2,married,9090,4753,6,no,13,3,4,1,1,4,3,1,0,0,0,no
59,travel_frequently,1159,sales,7,1,medical,1,male,83,4,4,sales_executive,4,married,8850,7335,6,yes,20,3,3,0,19,1,2,23,16,2,0,no
33,travel_rarely,691,research_&_development,2,3,medical,3,female,116,3,3,research_scientist,1,married,8176,18097,3,yes,15,3,2,0,6,3,3,8,2,0,3,no
55,travel_frequently,1008,sales,1,3,medical,4,male,102,1,5,manager,1,married,6603,15922,3,no,19,4,3,3,2,3,3,2,1,0,0,no
19,travel_rarely,349,sales,22,3,technical_degree,2,female,114,3,2,sales_representative,3,single,7014,11264,2,no,11,3,4,2,4,3,3,5,2,0,2,no
19,travel_rarely,541,human_resources,2,5,technical_degree,2,male,83,4,2,manager,2,married,6192,5910,3,yes,15,3,1,2,11,3,3,12,9,1,14,no
43,travel_rarely,299,human_resources,16,3,medical,2,male,63,3,1,human_resources,3,single,1176,21204,1,no,17,3,4,3,1,1,1,1,1,1,0,no
30,travel_rarely,766,research_&_development,5,4,marketing,2,female,85,4,2,manufacturing_director,4,single,16953,2662,1,no,15,3,1,0,2,3,4,2,0,1,0,yes
48,travel_rarely,1682,research_&_development,1,2,medical,1,male,43,3,3,laboratory_technician,4,divorced,9437,14924,3,no,15,3,3,0,7,3,3,8,4,1,4,no
51,travel_frequently,503,sales,12,1,medical,2,male,57,2,3,sales_representative,4,married,4118,6199,3,no,14,3,3,0,2,3,2,2,1,0,0,yes
56,travel_rarely,720,research_&_development,9,3,life_sciences,2,female,39,2,2,research_scientist,2,married,7886,14538,4,no,11,3,1,2,11,3,3,13,10,0,6,no
20,non-travel,889,research_&_development,3,3,medical,4,female,38,2,2,manufacturing_director,4,single,2871,4866,3,no,11,3,4,1,0,5,3,0,0,0,0,no
25,travel_frequently,833,sales,2,3,life_sciences,2,male,41,3,3,sales_executive,2,married,5178,14522,3,no,17,3,3,1,10,4,1,11,8,0,3,no
40,travel_rarely,1113,research_&_development,1,4,technical_degree,3,female,121,3,2,laboratory_technician,1,single,2342,6148,4,no,12,3,1,2,0,3,3,0,0,0,1,no
31,travel_rarely,437,sales,30,3,life_sciences,3,male,121,3,2,sales_representative,3,single,6809,26355,3,no,13,3,4,1,0,0,3,0,0,0,4,yes
44,non-travel,507,research_&_development,7,3,human_resources,1,female,45,3,3,research_director,4,single,1933,22476,2,yes,12,3,3,0,15,3,2,18,14,3,3,no
46,travel_rarely,1311,sales,1,4,medical,4,male,51,4,1,sales_executive,1,divorced,8314,2230,4,no,11,3,4,0,6,3,2,7,6,2,11,no
56,travel_rarely,825,research_&_development,21,3,medical,4,male,102,2,4,healthcare_representative,3,married,9950,23264,3,no,11,3,3,0,3,1,2,3,0,1,2,yes
56,travel_frequently,780,research_&_development,2,2,medical,3,female,80,3,5,laboratory_technician,4,married,4698,19943,3,no,21,3,2,0,1,3,3,1,0,2,8,no
18,travel_rarely,1438,research_&_development,2,1,life_sciences,3,male,109,1,2,research_scientist,2,married,7766,6865,4,yes,11,3,1,0,6,2,2,6,2,7,3,yes
34,travel_frequently,564,research_&_development,2,4,life_sciences,3,male,65,3,2,research_director,4,divorced,4503,22310,2,no,17,3,4,1,4,2,3,4,4,1,9,no
58,travel_rarely,1594,sales,8,4,life_sciences,2,female,91,4,3,sales_executive,3,single,9783,20014,2,yes,19,3,3,0,33,0,3,39,31,1,1,yes
47,travel_frequently,965,human_resources,1,1,medical,1,female,95,2,2,manager,3,single,5115,4418,3,yes,15,3,4,1,28,1,3,31,28,8,3,no
30,non-travel,591,research_&_development,6,3,medical,3,male,80,2,1,healthcare_representative,2,married,10305,14041,2,no,14,4,4,1,7,3,3,8,6,3,1,no
38,travel_rarely,1482,human_resources,22,4,marketing,4,female,75,3,4,human_resources,3,divorced,1224,11665,4,yes,15,3,4,3,4,4,3,5,1,3,0,no
36,travel_rarely,1664,research_&_development,1,5,life_sciences,2,female,83,3,2,research_director,2,divorced,4183,11218,5,no,13,4,4,1,4,3,4,4,3,2,3,no
36,travel_rarely,130,research_&_development,3,3,life_sciences,3,male,69,2,1,research_director,4,single,3860,14131,1,yes,18,3,3,3,8,3,3,10,7,1,6,no
42,non-travel,794,human_resources,5,4,life_sciences,1,male,42,2,2,human_resources,4,divorced,7850,18107,3,no,19,3,1,0,0,4,3,0,0,1,3,no
39,travel_rarely,447,sales,8,3,human_resources,1,female,78,2,1,manager,4,divorced,8757,9354,3,yes,17,3,2,0,2,2,3,2,0,2,1,no
48,travel_rarely,1441,sales,25,2,marketing,3,female,76,4,1,manager,1,single,8450,8878,2,no,11,3,2,1,0,1,3,0,0,1,1,no
34,travel_rarely,1298,sales,5,1,medical,2,female,53,3,2,sales_representative,1,married,5908,9397,1,no,17,3,3,0,0,2,3,0,0,3,1,yes
40,travel_rarely,1362,research_&_development,1,3,medical,4,male,64,4,2,laboratory_technician,3,married,1127,16540,2,no,20,3,1,1,1,4,3,1,0,5,15,no
49,travel_rarely,431,research_&_development,3,3,life_sciences,3,male,115,2,2,research_director,4,divorced,7894,11353,7,no,17,3,2,0,4,3,3,5,3,1,2,yes
27,travel_rarely,243,sales,1,5,other,2,male,109,3,5,manager,4,single,10189,18688,3,yes,18,3,2,1,10,1,4,11,8,1,1,yes
27,travel_rarely,1243,research_&_development,11,2,medical,3,male,111,3,4,manufacturing_director,4,divorced,16759,12676,6,no,12,3,1,3,4,3,3,5,4,2,2,no
53,travel_rarely,712,research_&_development,1,3,life_sciences,4,male,52,2,1,healthcare_representative,3,married,6185,26004,1,no,13,3,2,0,2,5,2,2,1,0,0,no
25,travel_rarely,1694,sales,3,1,medical,1,male,53,3,1,sales_executive,1,married,5372,8598,1,no,20,3,1,3,0,0,3,0,0,7,0,no
37,travel_frequently,1581,research_&_development,8,4,life_sciences,3,male,52,3,2,manufacturing_director,4,married,8222,17784,5,no,17,3,3,0,5,3,1,6,4,2,2,no
49,travel_frequently,843,sales,2,4,other,4,female,83,3,3,manager,1,married,6584,25032,1,yes,14,3,2,0,2,2,3,2,0,0,6,yes
31,travel_frequently,1275,research_&_development,8,2,life_sciences,1,female,71,3,4,healthcare_representative,1,divorced,10685,14889,4,no,13,3,4,1,6,3,3,7,2,1,8,no
45,travel_rarely,1048,sales,1,3,medical,4,male,93,3,3,manager,4,divorced,4553,26901,0,no,15,3,1,2,26,3,3,28,25,3,8,no
41,travel_frequently,1661,human_resources,26,2,life_sciences,2,male,65,4,1,human_resources,3,divorced,6266,19281,4,yes,13,3,4,1,0,4,4,0,0,0,11,no
32,travel_rarely,1511,research_&_development,4,3,marketing,2,male,78,4,2,research_director,1,single,9889,26903,3,yes,15,3,3,1,1,3,4,1,0,0,0,no
39,travel_rarely,1641,sales,25,2,marketing,3,female,67,3,3,manager,3,married,8938,21045,2,yes,25,3,3,0,4,3,2,4,3,1,0,no
47,travel_rarely,210,sales,3,3,medical,2,male,110,3,4,manager,1,single,11842,20625,2,yes,12,3,3,0,24,2,3,25,24,3,0,no
21,travel_rarely,909,research_&_development,14,4,medical,3,female,77,3,1,research_director,3,married,6148,8490,2,yes,11,3,2,0,10,1,3,12,10,0,3,yes
30,travel_frequently,363,research_&_development,2,3,technical_degree,3,female,59,2,2,healthcare_representative,2,married,12348,17223,4,yes,12,3,1,0,15,3,2,18,12,2,3,no
40,non-travel,1709,research_&_development,10,2,life_sciences,1,female,75,2,1,healthcare_representative,4,married,1696,13136,5,yes,17,3,4,3,2,0,3,2,2,1,4,yes
25,travel_rarely,1692,research_&_development,3,3,life_sciences,4,female,34,3,2,manufacturing_director,2,married,1822,3817,3,yes,17,3,4,2,33,2,3,39,32,0,1,no
35,travel_rarely,365,sales,7,3,life_sciences,3,female,38,3,1,sales_representative,3,divorced,11411,19624,5,no,11,4,4,0,0,2,3,0,0,0,1,no
29,travel_rarely,1647,research_&_development,12,3,other,3,male,95,4,4,healthcare_representative,1,single,7263,10417,4,no,13,3,3,1,0,3,3,0,0,0,3,no
48,non-travel,1666,sales,8,2,life_sciences,3,male,42,4,3,sales_executive,2,married,10755,17689,3,no,18,4,3,1,13,2,4,15,13,5,0,no
31,travel_rarely,1230,research_&_development,8,4,marketing,1,female,91,4,4,research_director,3,married,7835,24842,5,yes,14,3,3,0,18,3,3,21,14,8,6,no
51,travel_rarely,1031,research_&_development,1,3,marketing,3,male,82,4,5,manufacturing_director,4,single,7075,12395,3,no,11,3,3,0,0,2,3,0,0,0,10,no
35,travel_rarely,1592,research_&_development,2,2,life_sciences,4,female,81,3,1,healthcare_representative,2,single,2995,19209,2,no,11,3,4,1,0,3,3,0,0,1,1,yes
51,travel_frequently,1081,sales,8,2,life_sciences,1,female,48,3,3,manager,3,divorced,7521,10688,3,yes,20,3,2,1,0,3,3,0,0,8,5,no
28,travel_rarely,803,research_&_development,1,5,life_sciences,3,male,51,3,4,research_director,4,divorced,12706,24792,3,no,13,3,4,0,0,4,3,0,0,1,3,no
58,travel_rarely,570,research_&_development,2,2,medical,3,male,36,3,2,manufacturing_director,2,divorced,8279,7689,4,no,15,3,2,2,1,3,2,1,0,0,1,no
29,travel_rarely,468,research_&_development,2,4,life_sciences,2,male,73,3,3,laboratory_technician,1,divorced,9402,11903,4,no,11,3,3,1,24,4,3,28,24,0,0,no
32,travel_rarely,1098,research_&_development,2,3,life_sciences,4,male,106,3,2,research_director,3,single,10092,18456,4,yes,14,3,4,0,7,0,4,8,5,3,1,no
48,travel_rarely,1092,research_&_development,7,3,technical_degree,1,male,104,4,3,laboratory_technician,3,married,3957,2363,4,no,25,3,4,0,10,3,3,12,8,1,3,no
46,travel_frequently,449,research_&_development,8,3,other,2,female,57,2,2,laboratory_technician,1,married,10845,15459,3,no,22,3,4,1,10,0,3,12,9,2,0,no
43,travel_rarely,395,sales,23,1,life_sciences,1,male,34,2,2,sales_executive,2,married,6444,26058,0,no,16,3,2,1,5,3,3,6,5,1,7,no
35,travel_frequently,1111,research_&_development,5,3,life_sciences,3,male,52,3,1,healthcare_representative,3,married,7200,19632,1,no,21,3,2,1,11,2,3,13,9,0,14,no
49,travel_rarely,1382,research_&_development,27,3,life_sciences,2,male,93,4,1,research_director,4,married,14638,18063,3,yes,17,3,1,0,6,2,3,7,3,0,0,no
39,travel_rarely,1051,research_&_development,10,4,marketing,4,female,75,1,1,laboratory_technician,3,married,10365,25334,3,yes,24,3,4,0,2,3,3,2,0,6,1,no
55,travel_rarely,1104,research_&_development,25,3,technical_degree,4,male,88,4,1,research_scientist,1,married,5278,25493,2,no,17,3,3,1,5,4,3,6,5,4,4,yes
34,travel_rarely,1388,research_&_development,19,3,life_sciences,1,female,117,4,2,manufacturing_director,3,single,7963,26378,5,yes,20,3,3,0,5,1,3,6,5,2,6,yes
40,travel_frequently,740,research_&_development,12,2,life_sciences,4,male,53,3,1,research_director,2,married,7639,24114,6,no,11,3,3,1,12,3,3,13,10,0,1,yes
41,non-travel,646,research_&_development,4,3,technical_degree,3,male,58,4,1,laboratory_technician,2,married,12859,8866,3,no,16,3,3,0,28,6,3,32,26,1,2,no
25,travel_rarely,573,sales,2,2,medical,2,female,55,1,3,manager,3,married,7804,4442,1,yes,12,3,3,0,3,0,3,3,1,1,8,no
58,travel_rarely,590,sales,2,2,life_sciences,1,male,82,3,3,sales_executive,4,single,15192,21229,3,no,17,3,4,0,10,5,1,12,7,1,1,no
23,travel_rarely,261,sales,30,2,medical,1,male,95,3,3,manager,4,married,2796,12269,4,no,17,3,1,1,0,0,2,0,0,5,0,no
22,travel_rarely,1496,research_&_development,31,3,life_sciences,2,female,60,4,4,research_scientist,1,single,7182,8152,4,yes,20,3,4,1,10,4,4,12,8,0,17,yes
46,travel_frequently,232,research_&_development,13,3,life_sciences,4,male,89,3,1,laboratory_technician,4,married,4836,6616,1,no,19,4,3,2,3,5,3,3,2,2,0,no
45,travel_rarely,396,research_&_development,20,3,marketing,3,female,60,3,1,healthcare_representative,2,divorced,5534,4257,1,no,11,3,4,1,0,6,3,0,0,0,0,yes
28,non-travel,1059,research_&_development,24,3,technical_degree,4,female,91,3,2,laboratory_technician,2,married,5719,20761,2,no,11,3,4,1,3,3,3,4,3,1,2,yes
18,travel_rarely,1355,sales,7,5,life_sciences,4,female,113,3,4,sales_representative,4,single,5013,15968,4,no,14,3,2,0,6,4,3,7,2,2,0,no
60,non-travel,1599,research_&_development,9,4,human_resources,2,female,55,3,3,research_scientist,4,married,14084,24634,8,no,18,3,1,1,0,1,3,0,0,1,15,no
36,travel_frequently,1102,research_&_development,5,3,life_sciences,4,female,80,4,2,research_director,1,married,12910,17671,4,yes,17,3,2,0,18,3,2,20,15,0,1,no
26,travel_frequently,583,sales,5,4,marketing,1,male,63,2,1,sales_executive,1,divorced,8636,6257,1,yes,15,3,2,1,0,2,4,0,0,1,6,yes
44,travel_rarely,1315,sales,1,5,medical,1,male,97,3,2,sales_representative,2,married,6239,13076,2,yes,17,4,4,1,18,3,3,21,14,5,0,no
51,travel_rarely,115,sales,6,3,technical_degree,3,male,41,1,1,manager,3,married,5000,17266,1,no,18,3,1,1,8,3,3,9,4,1,0,yes
21,travel_rarely,130,sales,11,3,technical_degree,2,female,96,4,2,manager,4,married,10233,6580,1,yes,15,3,1,0,2,1,3,2,2,0,4,no
53,travel_rarely,285,human_resources,5,1,life_sciences,2,female,97,2,4,human_resources,1,single,8854,16389,7,yes,17,3,4,3,3,6,2,3,3,3,9,no
35,travel_rarely,446,research_&_development,21,4,human_resources,3,female,39,2,2,healthcare_representative,3,single,6499,15831,0,yes,17,3,3,1,9,3,3,10,5,0,0,no
32,non-travel,471,research_&_development,3,2,technical_degree,4,female,79,4,4,research_director,2,married,8926,12947,2,yes,14,3,3,1,6,4,2,7,4,1,3,yes
30,travel_frequently,718,research_&_development,1,1,technical_degree,2,male,70,3,2,research_scientist,1,married,10364,12252,5,yes,20,4,3,0,7,4,3,8,5,1,0,yes
36,travel_frequently,834,research_&_development,17,3,life_sciences,2,male,42,3,3,laboratory_technician,4,married,7009,20904,2,yes,11,3,4,1,3,4,3,3,3,0,6,no
23,travel_frequently,952,sales,12,4,technical_degree,3,female,83,4,4,sales_executive,4,single,4719,18191,2,yes,21,3,1,0,4,0,3,5,3,1,9,yes
29,travel_rarely,149,research_&_development,2,3,technical_degree,3,female,101,3,2,laboratory_technician,2,single,3001,21724,6,no,19,3,3,0,32,3,3,35,28,3,3,no
54,travel_rarely,1169,research_&_development,7,4,life_sciences,2,male,103,3,2,laboratory_technician,1,married,7741,23989,5,no,23,3,4,1,1,2,3,1,0,0,4,no
34,travel_rarely,404,research_&_development,5,4,human_resources,4,female,104,2,3,research_scientist,1,single,13487,21954,1,no,11,3,2,2,3,1,2,4,1,1,0,no
40,travel_rarely,281,research_&_development,31,3,life_sciences,3,female,41,3,4,healthcare_representative,3,married,3458,6277,1,no,13,3,4,0,2,2,4,2,1,0,0,yes
43,travel_frequently,549,research_&_development,9,3,life_sciences,3,female,60,2,1,laboratory_technician,2,single,11441,8005,1,yes,16,3,4,1,10,3,3,11,8,1,0,yes
46,travel_rarely,1001,sales,1,3,medical,4,male,41,3,2,sales_executive,3,married,5301,16058,3,no,16,3,4,0,10,2,1,11,9,0,1,no
50,travel_rarely,1143,sales,7,4,medical,4,male,93,3,2,sales_representative,3,divorced,5769,15006,4,yes,13,3,3,0,2,3,3,2,0,0,5,yes
44,travel_rarely,283,research_&_development,20,4,medical,1,female,106,3,4,manufacturing_director,2,single,10566,7302,1,no,16,3,4,3,0,3,3,0,0,0,2,no
42,travel_rarely,236,research_&_development,12,4,life_sciences,1,male,72,2,5,healthcare_representative,4,married,6625,10272,6,no,19,3,4,1,0,0,3,0,0,0,0,no
27,travel_rarely,198,research_&_development,19,2,other,4,female,88,3,1,research_director,1,single,8111,13210,5,yes,15,3,4,1,3,3,3,3,3,0,7,no
40,travel_frequently,139,sales,2,3,life_sciences,4,female,79,2,1,sales_representative,4,married,8115,5986,4,no,11,3,3,0,3,3,3,3,2,1,17,yes
38,travel_rarely,354,research_&_development,20,1,life_sciences,3,male,57,3,4,manufacturing_director,3,married,5146,21257,2,no,23,3,1,0,31,5,2,34,28,1,2,no
38,travel_rarely,627,research_&_development,13,3,life_sciences,3,female,80,3,2,research_director,4,married,10001,15380,6,no,11,3,2,0,4,2,3,5,1,0,2,no
60,travel_frequently,736,sales,12,4,medical,3,female,78,2,1,manager,1,married,6694,8693,2,yes,11,3,2,0,2,3,3,2,0,0,0,no
30,travel_frequently,944,sales,4,3,human_resources,2,male,62,4,1,sales_representative,4,divorced,2875,10740,3,no,12,3,2,0,15,3,3,17,12,2,1,no
54,travel_rarely,397,research_&_development,23,2,medical,4,female,42,3,2,research_scientist,1,single,4584,22112,4,yes,12,3,3,1,4,5,2,5,2,2,1,yes
50,non-travel,901,human_resources,10,1,technical_degree,3,female,111,2,3,manager,4,single,1183,25132,2,yes,16,3,4,0,6,3,2,7,5,1,13,no
41,travel_rarely,262,research_&_development,20,3,life_sciences,4,female,88,4,2,manufacturing_director,4,divorced,7838,21724,1,no,25,3,4,0,0,3,3,0,0,8,4,no
28,travel_frequently,1192,research_&_development,5,2,medical,3,male,38,3,2,research_director,2,married,12654,15316,4,yes,11,3,4,1,3,2,3,4,2,6,6,no
34,travel_rarely,1687,research_&_development,1,3,medical,4,female,89,3,4,laboratory_technician,2,divorced,3788,6398,2,yes,19,3,4,2,20,0,3,23,18,0,0,no
21,travel_rarely,1446,research_&_development,3,4,medical,2,male,86,2,1,research_scientist,4,married,9370,26274,1,no,22,3,4,3,6,1,1,7,6,0,2,no
42,travel_frequently,1239,human_resources,6,3,life_sciences,4,female,69,3,1,human_resources,4,divorced,9154,7526,1,no,13,3,4,2,2,3,3,2,0,4,0,no
47,travel_rarely,1301,human_resources,7,3,marketing,4,female,93,3,4,manager,4,married,4706,4944,1,no,14,3,1,0,6,3,3,7,5,0,7,no
26,travel_rarely,1346,sales,7,3,medical,3,female,75,2,3,sales_executive,4,married,13509,24101,2,no,16,4,3,0,16,2,4,18,15,1,0,no
38,travel_frequently,682,research_&_development,8,3,marketing,3,female,54,3,2,research_scientist,4,divorced,6679,20611,3,no,13,3,3,2,2,3,3,2,1,6,2,no
37,travel_rarely,317,research_&_development,19,2,medical,1,male,77,3,2,manufacturing_director,3,married,14000,13623,6,no,11,3,1,2,4,2,2,4,1,2,0,yes
36,travel_rarely,1598,sales,1,4,life_sciences,3,male,47,1,2,sales_representative,1,single,1846,23817,3,yes,20,3,4,1,22,3,3,24,22,0,4,no
36,travel_frequently,894,sales,4,3,medical,4,female,49,4,3,sales_executive,1,single,6434,16724,2,no,15,3,1,0,1,4,3,1,0,3,2,no
29,travel_rarely,1017,research_&_development,21,2,life_sciences,2,female,99,1,1,healthcare_representative,3,single,6874,3815,3,yes,12,3,3,0,8,4,3,10,7,1,2,no
54,travel_frequently,722,research_&_development,8,2,technical_degree,4,female,85,2,2,research_scientist,3,single,7329,20504,1,no,14,3,1,2,6,2,1,6,2,5,0,no
59,non-travel,454,sales,7,2,medical,3,female,117,4,1,sales_representative,3,single,10239,25127,3,no,13,3,3,0,7,3,3,9,7,0,2,no
34,travel_rarely,196,sales,5,4,life_sciences,2,female,94,2,3,sales_executive,2,married,19729,16394,2,yes,17,3,3,1,3,5,3,3,0,1,3,no
54,travel_frequently,1490,research_&_development,8,3,other,2,female,97,4,2,manufacturing_director,3,married,8747,19664,1,no,11,3,4,3,2,3,3,2,2,3,13,yes
56,travel_frequently,307,sales,1,3,medical,3,female,37,3,2,manager,2,married,7794,19628,4,yes,13,4,2,1,8,2,3,9,7,0,0,no
45,non-travel,1452,sales,8,3,life_sciences,1,female,93,3,1,manager,3,married,3644,22690,2,yes,15,3,3,0,1,3,3,1,1,0,10,no
58,travel_rarely,560,research_&_development,34,4,medical,4,male,92,3,1,laboratory_technician,3,single,1076,3523,2,yes,11,3,4,0,3,3,3,3,3,0,2,yes
52,travel_rarely,1035,human_resources,7,4,life_sciences,4,male,100,2,3,human_resources,1,single,11725,2742,1,yes,14,3,4,0,1,3,2,1,0,1,0,no
35,travel_rarely,249,sales,1,3,technical_degree,2,male,46,3,3,sales_representative,4,single,5208,26413,2,no,12,3,2,1,0,1,4,0,0,5,4,no
31,travel_frequently,312,research_&_development,16,3,technical_degree,2,female,48,4,3,healthcare_representative,3,married,16196,2449,3,yes,17,3,1,1,24,3,2,26,20,0,2,no
52,travel_rarely,610,research_&_development,4,4,other,3,female,55,1,3,healthcare_representative,4,single,10946,4917,2,no,15,3,1,0,3,4,2,3,0,0,1,yes
58,travel_rarely,787,sales,1,4,medical,3,female,95,3,1,sales_executive,2,single,9112,10251,2,no,20,3,4,0,24,6,3,27,20,2,3,yes
24,travel_frequently,305,research_&_development,18,3,medical,2,male,92,3,3,research_scientist,1,married,8739,23596,6,no,11,3,3,0,1,2,3,1,0,0,2,no
58,travel_rarely,332,research_&_development,1,1,marketing,3,female,50,2,1,laboratory_technician,1,divorced,8707,17675,5,no,12,4,1,3,6,3,2,7,6,1,4,yes
30,travel_rarely,898,research_&_development,26,4,life_sciences,4,male,57,3,1,manufacturing_director,1,single,5053,9637,1,no,15,3,1,2,1,0,4,1,0,1,4,yes
35,travel_frequently,1119,research_&_development,6,2,medical,1,female,85,3,3,healthcare_representative,1,married,1317,14220,2,no,20,3,4,1,10,5,2,11,9,1,2,yes
54,travel_frequently,136,research_&_development,15,1,medical,2,male,82,2,4,laboratory_technician,1,married,6075,7363,4,no,11,3,3,3,10,0,3,11,9,0,1,no
30,travel_frequently,1130,sales,8,4,life_sciences,4,male,61,3,3,manager,4,divorced,7160,24857,4,no,11,3,3,1,0,2,2,0,0,0,0,no
53,travel_rarely,1426,research_&_development,2,3,medical,1,male,45,3,3,laboratory_technician,4,divorced,5567,6028,3,yes,20,3,3,1,17,1,3,18,14,3,2,no
48,travel_frequently,232,research_&_development,12,4,technical_degree,4,female,87,2,5,healthcare_representative,4,single,3023,24092,6,no,24,3,1,1,1,3,3,1,1,0,1,no
19,travel_rarely,568,sales,33,3,technical_degree,3,male,40,4,1,manager,4,single,5154,9179,4,yes,21,4,2,1,6,2,3,7,4,3,0,no
33,travel_rarely,1154,sales,14,4,life_sciences,2,female,85,1,5,sales_executive,3,divorced,11971,16126,1,no,21,3,2,0,29,3,3,34,27,3,1,no
26,travel_rarely,1106,research_&_development,9,3,life_sciences,1,female,77,3,2,research_scientist,3,married,10382,18744,1,no,16,3,2,1,14,3,3,16,13,0,0,no
