Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
21,Travel_Frequently,781,Sales,10,2,Medical,2,Male,99,3,1,Sales Representative,4,Divorced,5152,14100,2,Yes,13,3,2,1,30,1,1,30,26,0,1,No
47,Travel_Rarely,1097,Human Resources,3,2,Marketing,4,Female,76,3,5,Human Resources,3,Single,9688,13805,4,Yes,13,4,4,0,7,3,3,7,5,6,4,No
48,Travel_Frequently,180,Research & Development,20,5,Life Sciences,1,Male,63,2,1,Research Scientist,4,Single,1009,26236,6,Yes,16,3,2,0,8,0,3,8,5,3,2,No
55,Travel_Rarely,1295,Sales,6,3,Technical Degree,4,Male,71,4,1,Manager,1,Single,2054,4781,3,No,11,3,3,1,0,2,2,0,0,0,4,Yes
28,Travel_Rarely,347,Sales,9,4,Medical,3,Female,52,2,1,Manager,2,Single,8491,5250,1,No,20,4,4,2,6,2,3,6,3,0,2,No
52,Travel_Rarely,884,Sales,2,3,Life Sciences,3,Male,69,3,2,Sales Executive,2,Single,5913,19053,4,No,13,3,3,3,4,3,3,4,1,0,8,No
25,Travel_Rarely,573,Research & Development,4,4,Life Sciences,2,Female,44,1,4,Manufacturing Director,1,Married,5982,13133,4,No,13,3,1,0,0,0,4,0,0,3,1,Yes
20,Travel_Frequently,1224,Research & Development,17,3,Medical,2,Male,86,3,1,Research Scientist,2,Single,3688,2496,3,No,14,3,3,0,2,3,3,2,0,0,1,Yes
31,Travel_Rarely,423,Research & Development,2,1,Technical Degree,1,Male,43,3,2,Research Scientist,2,Married,7219,10538,0,No,12,3,3,1,15,4,3,15,13,1,3,No
30,Travel_Rarely,242,Sales,4,2,Medical,4,Female,41,3,1,Sales Executive,4,Divorced,4075,3723,4,No,11,3,3,1,5,3,3,5,4,0,2,No
49,Travel_Rarely,1234,Research & Development,3,3,Life Sciences,3,Female,64,3,3,Research Scientist,2,Married,6718,26446,0,Yes,19,3,4,3,3,4,3,3,3,2,2,No
51,Travel_Rarely,414,Sales,1,4,Technical Degree,3,Female,54,1,1,Sales Representative,2,Divorced,3024,17387,2,No,12,3,1,0,0,3,3,0,0,0,6,No
36,Travel_Rarely,1246,Sales,3,1,Medical,4,Male,31,2,2,Manager,4,Single,5952,4803,3,No,17,3,4,1,8,3,3,8,4,0,3,No
55,Travel_Rarely,200,Research & Development,2,3,Medical,4,Male,47,4,3,Healthcare Representative,3,Married,12574,17818,6,No,13,4,4,1,8,2,3,8,7,2,8,No
33,Travel_Rarely,595,Research & Development,23,3,Medical,3,Male,64,4,2,Manufacturing Director,3,Married,5225,15050,3,No,12,3,4,0,6,2,4,6,6,1,3,No
19,Travel_Rarely,1269,Research & Development,12,4,Life Sciences,3,Female,38,3,1,Research Director,3,Single,6104,23301,1,No,11,3,3,1,4,2,2,4,0,3,0,No
57,Non-Travel,211,Sales,3,4,Medical,1,Female,40,2,1,Sales Executive,3,Single,5892,13617,3,Yes,11,3,3,0,3,0,2,3,3,0,8,Yes
34,Travel_Rarely,585,Research & Development,12,3,Life Sciences,4,Female,96,3,3,Research Scientist,2,Married,7023,6137,3,No,13,3,3,1,6,5,3,6,3,1,7,No
51,Travel_Rarely,231,Research & Development,1,2,Other,4,Male,98,3,3,Research Scientist,2,Married,7904,4753,6,No,13,3,4,1,1,4,3,1,0,0,0,No
59,Travel_Frequently,941,Sales,6,1,Medical,1,Male,67,4,4,Sales Executive,4,Married,7271,7335,6,Yes,20,3,3,0,19,1,2,19,16,2,0,No
33,Travel_Rarely,607,Research & Development,2,3,Medical,3,Female,99,3,3,Research Scientist,1,Married,7337,18097,3,No,15,3,2,0,6,3,3,6,2,0,3,No
55,Travel_Rarely,870,Sales,1,3,Medical,4,Male,88,1,5,Manager,1,Married,5957,15922,3,No,19,4,3,3,2,3,3,2,1,0,0,No
19,Travel_Rarely,311,Sales,19,3,Technical Degree,2,Female,95,3,2,Sales Representative,3,Single,6800,11264,2,No,11,3,4,2,4,3,3,4,2,0,2,No
19,Travel_Rarely,462,Human Resources,2,5,Technical Degree,2,Male,70,4,2,Manager,2,Married,5858,5910,3,Yes,15,3,1,2,11,3,3,11,9,1,14,No
43,Travel_Rarely,255,Human Resources,15,3,Medical,2,Male,53,3,1,Human Resources,3,Single,1062,21204,1,No,17,3,4,3,1,1,1,1,1,1,0,No
30,Travel_Rarely,634,Research & Development,4,4,Marketing,2,Female,79,4,2,Manufacturing Director,4,Single,14391,2662,1,No,15,3,1,0,2,3,4,2,0,1,0,Yes
48,Travel_Rarely,1485,Research & Development,1,2,Medical,1,Male,34,3,3,Laboratory Technician,4,Divorced,8684,14924,3,No,15,3,3,0,7,3,3,7,4,1,4,No
51,Travel_Frequently,411,Sales,11,1,Medical,2,Male,50,2,3,Sales Representative,4,Married,3562,6199,3,No,14,3,3,0,2,3,2,2,1,0,0,Yes
56,Travel_Rarely,575,Research & Development,8,3,Life Sciences,2,Female,35,2,2,Research Scientist,2,Married,7190,14538,4,No,11,3,1,2,11,3,3,11,10,0,6,No
20,Non-Travel,837,Research & Development,3,3,Medical,4,Female,33,2,2,Manufacturing Director,4,Single,2461,4866,3,No,11,3,4,1,0,5,3,0,0,0,0,No
25,Travel_Rarely,737,Sales,2,3,Life Sciences,2,Male,38,3,3,Sales Executive,2,Married,5017,14522,3,No,17,3,3,1,10,4,1,10,8,0,3,No
40,Travel_Rarely,977,Research & Development,1,4,Technical Degree,3,Female,98,3,2,Laboratory Technician,1,Single,2054,6148,4,No,12,3,1,2,0,3,3,0,0,0,1,No
31,Travel_Rarely,401,Sales,25,3,Life Sciences,3,Male,97,3,2,Sales Representative,3,Single,6346,26355,3,No,13,3,4,1,0,0,3,0,0,0,4,Yes
44,Non-Travel,442,Research & Development,6,3,Human Resources,1,Female,38,3,3,Research Director,4,Single,1755,22476,2,Yes,12,3,3,0,15,3,2,15,14,3,3,No
46,Travel_Rarely,1129,Sales,1,4,Medical,4,Male,47,4,1,Sales Executive,1,Divorced,7665,2230,4,No,11,3,4,0,6,3,2,6,6,2,11,No
56,Travel_Rarely,736,Research & Development,18,3,Medical,4,Male,88,2,4,Healthcare Representative,3,Married,8546,23264,3,No,11,3,3,0,3,1,2,3,0,1,2,Yes
56,Travel_Frequently,655,Research & Development,2,2,Medical,3,Female,72,3,5,Laboratory Technician,4,Married,4019,19943,3,No,21,3,2,0,1,3,3,1,0,2,8,No
18,Travel_Rarely,1294,Research & Development,2,1,Life Sciences,3,Male,95,1,2,Research Scientist,2,Married,6982,6865,4,Yes,11,3,1,0,6,2,2,6,2,7,3,Yes
34,Travel_Frequently,521,Research & Development,2,4,Life Sciences,3,Male,58,3,2,Research Director,4,Divorced,3860,22310,2,No,17,3,4,1,4,2,3,4,4,1,9,No
58,Travel_Rarely,1405,Sales,7,4,Life Sciences,2,Female,77,4,3,Sales Executive,3,Single,8035,20014,2,Yes,19,3,3,0,33,0,3,33,31,1,1,No
47,Travel_Frequently,838,Human Resources,1,1,Medical,1,Female,80,2,2,Manager,3,Single,4434,4418,3,Yes,15,3,4,1,28,1,3,28,28,8,3,No
30,Non-Travel,490,Research & Development,5,3,Medical,3,Male,71,2,1,Healthcare Representative,2,Married,8866,14041,2,No,14,4,4,1,7,3,3,7,6,3,1,No
38,Travel_Rarely,1310,Human Resources,20,4,Marketing,4,Female,65,3,4,Human Resources,3,Divorced,1065,11665,4,No,15,3,4,3,4,4,3,4,1,3,0,No
36,Travel_Rarely,1448,Research & Development,1,5,Life Sciences,2,Female,74,3,2,Research Director,2,Divorced,3485,11218,5,No,13,4,4,1,4,3,4,4,3,2,3,No
36,Travel_Rarely,112,Research & Development,3,3,Life Sciences,3,Male,64,2,1,Research Director,4,Single,3173,14131,1,Yes,18,3,3,3,8,3,3,8,7,1,6,No
42,Non-Travel,709,Human Resources,4,4,Life Sciences,1,Male,35,2,2,Human Resources,4,Divorced,7110,18107,3,No,19,3,1,0,0,4,3,0,0,1,3,No
39,Travel_Rarely,379,Sales,7,3,Human Resources,1,Female,66,2,1,Manager,4,Divorced,8165,9354,3,Yes,17,3,2,0,2,2,3,2,0,2,1,No
48,Travel_Rarely,1264,Sales,22,2,Marketing,3,Female,65,4,1,Manager,1,Single,7341,8878,2,No,11,3,2,1,0,1,3,0,0,1,1,No
34,Travel_Rarely,1119,Sales,4,1,Medical,2,Female,45,3,2,Sales Representative,1,Married,4973,9397,1,No,17,3,3,0,0,2,3,0,0,3,1,Yes
40,Travel_Rarely,1211,Research & Development,1,3,Medical,4,Male,51,4,2,Laboratory Technician,3,Married,1009,16540,2,No,20,3,1,1,1,4,3,1,0,5,15,No
49,Travel_Rarely,332,Research & Development,3,3,Life Sciences,3,Male,98,2,2,Research Director,4,Divorced,6616,11353,7,No,17,3,2,0,4,3,3,4,3,1,2,Yes
27,Travel_Rarely,239,Sales,1,5,Other,2,Male,98,3,5,Manager,4,Single,8864,18688,3,Yes,18,3,2,1,10,1,4,10,8,1,1,Yes
27,Travel_Rarely,1098,Research & Development,9,2,Medical,3,Male,92,3,4,Manufacturing Director,4,Divorced,14541,12676,6,No,12,3,1,3,4,3,3,4,4,2,2,No
53,Travel_Rarely,632,Research & Development,1,3,Life Sciences,4,Male,48,2,1,Healthcare Representative,3,Married,5226,26004,1,No,13,3,2,0,2,5,2,2,1,0,0,No
25,Travel_Rarely,1463,Sales,3,1,Medical,1,Male,47,3,1,Sales Executive,1,Married,4504,8598,1,No,20,3,1,3,0,0,3,0,0,7,0,No
37,Travel_Rarely,1281,Research & Development,7,4,Life Sciences,3,Male,46,3,2,Manufacturing Director,4,Married,7460,17784,5,No,17,3,3,0,5,3,1,5,4,2,2,No
49,Travel_Frequently,708,Sales,2,4,Other,4,Female,70,3,3,Manager,1,Married,5731,25032,1,Yes,14,3,2,0,2,2,3,2,0,0,6,Yes
31,Travel_Frequently,1142,Research & Development,7,2,Life Sciences,1,Female,62,3,4,Healthcare Representative,1,Divorced,10326,14889,4,No,13,3,4,1,6,3,3,6,2,1,8,No
45,Travel_Rarely,893,Sales,1,3,Medical,4,Male,84,3,3,Manager,4,Divorced,4075,26901,0,No,15,3,1,2,26,3,3,26,25,3,8,No
41,Travel_Rarely,1386,Human Resources,25,2,Life Sciences,2,Male,53,4,1,Human Resources,3,Divorced,5753,19281,4,Yes,13,3,4,1,0,4,4,0,0,0,11,No
32,Travel_Rarely,1285,Research & Development,3,3,Marketing,2,Male,69,4,2,Research Director,1,Single,9128,26903,3,Yes,15,3,3,1,1,3,4,1,0,0,0,No
39,Travel_Rarely,1434,Sales,23,2,Marketing,3,Female,57,3,3,Manager,3,Married,7425,21045,2,Yes,25,3,3,0,4,3,2,4,3,1,0,No
47,Travel_Rarely,182,Sales,3,3,Medical,2,Male,96,3,4,Manager,1,Single,9983,20625,2,No,12,3,3,0,24,2,3,24,24,3,0,No
21,Travel_Rarely,798,Research & Development,13,4,Medical,3,Female,68,3,1,Research Director,3,Married,5190,8490,2,No,11,3,2,0,10,1,3,10,10,0,3,No
30,Travel_Rarely,314,Research & Development,2,3,Technical Degree,3,Female,50,2,2,Healthcare Representative,2,Married,10289,17223,4,Yes,12,3,1,0,15,3,2,15,12,2,3,No
40,Non-Travel,1467,Research & Development,9,2,Life Sciences,1,Female,66,2,1,Healthcare Representative,4,Married,1508,13136,5,Yes,17,3,4,3,2,0,3,2,2,1,4,Yes
25,Travel_Rarely,1484,Research & Development,3,3,Life Sciences,4,Female,31,3,2,Manufacturing Director,2,Married,1628,3817,3,No,17,3,4,2,33,2,3,33,32,0,1,No
35,Travel_Rarely,307,Sales,6,3,Life Sciences,3,Female,35,3,1,Sales Representative,3,Divorced,10337,19624,5,No,11,4,4,0,0,2,3,0,0,0,1,No
29,Travel_Rarely,1461,Research & Development,10,3,Other,3,Male,81,4,4,Healthcare Representative,1,Single,6522,10417,4,No,13,3,3,1,0,3,3,0,0,0,3,No
48,Non-Travel,1386,Sales,7,2,Life Sciences,3,Male,34,4,3,Sales Executive,2,Married,9262,17689,3,No,18,4,3,1,13,2,4,13,13,5,0,No
31,Travel_Rarely,1001,Research & Development,7,4,Marketing,1,Female,76,4,4,Research Director,3,Married,6798,24842,5,Yes,14,3,3,0,18,3,3,18,14,8,6,No
51,Travel_Rarely,849,Research & Development,1,3,Marketing,3,Male,72,4,5,Manufacturing Director,4,Single,6478,12395,3,No,11,3,3,0,0,2,3,0,0,0,10,No
35,Travel_Rarely,1368,Research & Development,2,2,Life Sciences,4,Female,69,3,1,Healthcare Representative,2,Single,2515,19209,2,No,11,3,4,1,0,3,3,0,0,1,1,Yes
51,Travel_Rarely,978,Sales,7,2,Life Sciences,1,Female,40,3,3,Manager,3,Divorced,6419,10688,3,Yes,20,3,2,1,0,3,3,0,0,8,5,No
28,Travel_Rarely,683,Research & Development,1,5,Life Sciences,3,Male,43,3,4,Research Director,4,Divorced,10584,24792,3,No,13,3,4,0,0,4,3,0,0,1,3,No
58,Travel_Rarely,496,Research & Development,2,2,Medical,3,Male,31,3,2,Manufacturing Director,2,Divorced,6670,7689,4,No,15,3,2,2,1,3,2,1,0,0,1,No
29,Travel_Rarely,438,Research & Development,2,4,Life Sciences,2,Male,68,3,3,Laboratory Technician,1,Divorced,8546,11903,4,No,11,3,3,1,24,4,3,24,24,0,0,No
32,Travel_Rarely,900,Research & Development,2,3,Life Sciences,4,Male,92,3,2,Research Director,3,Single,8463,18456,4,Yes,14,3,4,0,7,0,4,7,5,3,1,No
48,Travel_Rarely,882,Research & Development,6,3,Technical Degree,1,Male,92,4,3,Laboratory Technician,3,Married,3461,2363,4,No,25,3,4,0,10,3,3,10,8,1,3,No
46,Travel_Frequently,380,Research & Development,7,3,Other,2,Female,47,2,2,Laboratory Technician,1,Married,9071,15459,3,No,22,3,4,1,10,0,3,10,9,2,0,No
43,Travel_Rarely,350,Sales,21,1,Life Sciences,1,Male,30,2,2,Sales Executive,2,Married,5558,26058,0,No,16,3,2,1,5,3,3,5,5,1,7,No
35,Travel_Frequently,934,Research & Development,4,3,Life Sciences,3,Male,46,3,1,Healthcare Representative,3,Married,5721,19632,1,No,21,3,2,1,11,2,3,11,9,0,14,No
49,Travel_Rarely,1155,Research & Development,23,3,Life Sciences,2,Male,83,4,1,Research Director,4,Married,12793,18063,3,Yes,17,3,1,0,6,2,3,6,3,0,0,No
39,Travel_Rarely,1013,Research & Development,9,4,Marketing,4,Female,68,1,1,Laboratory Technician,3,Married,8291,25334,3,Yes,24,3,4,0,2,3,3,2,0,6,1,No
55,Travel_Rarely,1040,Research & Development,21,3,Technical Degree,4,Male,77,4,1,Research Scientist,1,Married,4584,25493,2,No,17,3,3,1,5,4,3,5,5,4,4,No
34,Travel_Rarely,1256,Research & Development,16,3,Life Sciences,1,Female,95,4,2,Manufacturing Director,3,Single,6693,26378,5,Yes,20,3,3,0,5,1,3,5,5,2,6,Yes
40,Travel_Frequently,625,Research & Development,10,2,Life Sciences,4,Male,44,3,1,Research Director,2,Married,6609,24114,6,No,11,3,3,1,12,3,3,12,10,0,1,No
41,Non-Travel,561,Research & Development,3,3,Technical Degree,3,Male,51,4,1,Laboratory Technician,2,Married,11558,8866,3,No,16,3,3,0,28,6,3,28,26,1,2,No
25,Travel_Rarely,496,Sales,2,2,Medical,2,Female,49,1,3,Manager,3,Married,6618,4442,1,No,12,3,3,0,3,0,3,3,1,1,8,No
58,Travel_Rarely,514,Sales,2,2,Life Sciences,1,Male,72,3,3,Sales Executive,4,Single,13123,21229,3,No,17,3,4,0,10,5,1,10,7,1,1,No
23,Travel_Rarely,218,Sales,27,2,Medical,1,Male,85,3,3,Manager,4,Married,2609,12269,4,No,17,3,1,1,0,0,2,0,0,5,0,No
22,Travel_Rarely,1274,Research & Development,28,3,Life Sciences,2,Female,53,4,4,Research Scientist,1,Single,6402,8152,4,Yes,20,3,4,1,10,4,4,10,8,0,17,No
46,Travel_Rarely,210,Research & Development,11,3,Life Sciences,4,Male,72,3,1,Laboratory Technician,4,Married,4211,6616,1,No,19,4,3,2,3,5,3,3,2,2,0,No
45,Travel_Rarely,337,Research & Development,19,3,Marketing,3,Female,50,3,1,Healthcare Representative,2,Divorced,5015,4257,1,No,11,3,4,1,0,6,3,0,0,0,0,Yes
28,Non-Travel,927,Research & Development,22,3,Technical Degree,4,Female,77,3,2,Laboratory Technician,2,Married,5080,20761,2,No,11,3,4,1,3,3,3,3,3,1,2,No
18,Travel_Rarely,1111,Sales,6,5,Life Sciences,4,Female,95,3,4,Sales Representative,4,Single,4366,15968,4,No,14,3,2,0,6,4,3,6,2,2,0,No
60,Non-Travel,1305,Research & Development,8,4,Human Resources,2,Female,45,3,3,Research Scientist,4,Married,11690,24634,8,No,18,3,1,1,0,1,3,0,0,1,15,No
36,Travel_Frequently,1010,Research & Development,4,3,Life Sciences,4,Female,69,4,2,Research Director,1,Married,10767,17671,4,Yes,17,3,2,0,18,3,2,18,15,0,1,No
26,Travel_Frequently,497,Sales,4,4,Marketing,1,Male,50,2,1,Sales Executive,1,Divorced,7707,6257,1,Yes,15,3,2,1,0,2,4,0,0,1,6,Yes
44,Travel_Rarely,1078,Sales,1,5,Medical,1,Male,81,3,2,Sales Representative,2,Married,5076,13076,2,Yes,17,4,4,1,18,3,3,18,14,5,0,No
51,Travel_Rarely,102,Sales,5,3,Technical Degree,3,Male,37,1,1,Manager,3,Married,4450,17266,1,No,18,3,1,1,8,3,3,8,4,1,0,Yes
21,Travel_Rarely,109,Sales,10,3,Technical Degree,2,Female,84,4,2,Manager,4,Married,8725,6580,1,Yes,15,3,1,0,2,1,3,2,2,0,4,No
53,Travel_Rarely,245,Human Resources,4,1,Life Sciences,2,Female,87,2,4,Human Resources,1,Single,7400,16389,7,Yes,17,3,4,3,3,6,2,3,3,3,9,No
35,Travel_Rarely,376,Research & Development,18,4,Human Resources,3,Female,34,2,2,Healthcare Representative,3,Single,6065,15831,0,Yes,17,3,3,1,9,3,3,9,5,0,0,No
32,Non-Travel,388,Research & Development,3,2,Technical Degree,4,Female,71,4,4,Research Director,2,Married,8123,12947,2,Yes,14,3,3,1,6,4,2,6,4,1,3,Yes
30,Travel_Frequently,591,Research & Development,1,1,Technical Degree,2,Male,59,3,2,Research Scientist,1,Married,9173,12252,5,No,20,4,3,0,7,4,3,7,5,1,0,Yes
36,Travel_Frequently,734,Research & Development,15,3,Life Sciences,2,Male,38,3,3,Laboratory Technician,4,Married,6037,20904,2,Yes,11,3,4,1,3,4,3,3,3,0,6,No
23,Travel_Frequently,830,Sales,10,4,Technical Degree,3,Female,70,4,4,Sales Executive,4,Single,4138,18191,2,Yes,21,3,1,0,4,0,3,4,3,1,9,Yes
29,Travel_Rarely,132,Research & Development,2,3,Technical Degree,3,Female,80,3,2,Laboratory Technician,2,Single,2536,21724,6,No,19,3,3,0,32,3,3,32,28,3,3,No
54,Travel_Rarely,1065,Research & Development,6,4,Life Sciences,2,Male,86,3,2,Laboratory Technician,1,Married,7251,23989,5,No,23,3,4,1,1,2,3,1,0,0,4,No
34,Travel_Rarely,345,Research & Development,4,4,Human Resources,4,Female,90,2,3,Research Scientist,1,Single,13001,21954,1,No,11,3,2,2,3,1,2,3,1,1,0,No
40,Travel_Rarely,241,Research & Development,25,3,Life Sciences,3,Female,35,3,4,Healthcare Representative,3,Married,3168,6277,1,No,13,3,4,0,2,2,4,2,1,0,0,Yes
43,Travel_Frequently,502,Research & Development,8,3,Life Sciences,3,Female,55,2,1,Laboratory Technician,2,Single,9798,8005,1,Yes,16,3,4,1,10,3,3,10,8,1,0,Yes
46,Travel_Rarely,826,Sales,1,3,Medical,4,Male,35,3,2,Sales Executive,3,Married,4473,16058,3,No,16,3,4,0,10,2,1,10,9,0,1,No
50,Travel_Rarely,1083,Sales,6,4,Medical,4,Male,82,3,2,Sales Representative,3,Divorced,5077,15006,4,Yes,13,3,3,0,2,3,3,2,0,0,5,No
44,Travel_Rarely,265,Research & Development,17,4,Medical,1,Female,90,3,4,Manufacturing Director,2,Single,9244,7302,1,No,16,3,4,3,0,3,3,0,0,0,2,No
42,Travel_Rarely,205,Research & Development,10,4,Life Sciences,1,Male,62,2,5,Healthcare Representative,4,Married,5734,10272,6,No,19,3,4,1,0,0,3,0,0,0,0,No
27,Travel_Rarely,164,Research & Development,16,2,Other,4,Female,74,3,1,Research Director,1,Single,7244,13210,5,Yes,15,3,4,1,3,3,3,3,3,0,7,No
40,Travel_Frequently,116,Sales,2,3,Life Sciences,4,Female,69,2,1,Sales Representative,4,Married,7187,5986,4,No,11,3,3,0,3,3,3,3,2,1,17,Yes
38,Travel_Rarely,280,Research & Development,19,1,Life Sciences,3,Male,53,3,4,Manufacturing Director,3,Married,4478,21257,2,No,23,3,1,0,31,5,2,31,28,1,2,No
38,Travel_Rarely,542,Research & Development,12,3,Life Sciences,3,Female,74,3,2,Research Director,4,Married,9185,15380,6,No,11,3,2,0,4,2,3,4,1,0,2,No
60,Travel_Rarely,626,Sales,11,4,Medical,3,Female,67,2,1,Manager,1,Married,6315,8693,2,No,11,3,2,0,2,3,3,2,0,0,0,No
30,Travel_Rarely,828,Sales,3,3,Human Resources,2,Male,58,4,1,Sales Representative,4,Divorced,2334,10740,3,No,12,3,2,0,15,3,3,15,12,2,1,No
54,Travel_Rarely,412,Research & Development,19,2,Medical,4,Female,37,3,2,Research Scientist,1,Single,3822,22112,4,Yes,12,3,3,1,4,5,2,4,2,2,1,Yes
50,Non-Travel,839,Human Resources,9,1,Technical Degree,3,Female,93,2,3,Manager,4,Single,1009,25132,2,Yes,16,3,4,0,6,3,2,6,5,1,13,No
41,Travel_Rarely,231,Research & Development,17,3,Life Sciences,4,Female,80,4,2,Manufacturing Director,4,Divorced,6655,21724,1,No,25,3,4,0,0,3,3,0,0,8,4,No
28,Travel_Rarely,1069,Research & Development,4,2,Medical,3,Male,35,3,2,Research Director,2,Married,10412,15316,4,No,11,3,4,1,3,2,3,3,2,6,6,No
34,Travel_Rarely,1388,Research & Development,1,3,Medical,4,Female,76,3,4,Laboratory Technician,2,Divorced,3358,6398,2,No,19,3,4,2,20,0,3,20,18,0,0,No
21,Travel_Rarely,1296,Research & Development,3,4,Medical,2,Male,78,2,1,Research Scientist,4,Married,8256,26274,1,No,22,3,4,3,6,1,1,6,6,0,2,No
42,Travel_Rarely,1028,Human Resources,5,3,Life Sciences,4,Female,61,3,1,Human Resources,4,Divorced,7791,7526,1,No,13,3,4,2,2,3,3,2,0,4,0,No
47,Travel_Rarely,1150,Human Resources,6,3,Marketing,4,Female,83,3,4,Manager,4,Married,4244,4944,1,No,14,3,1,0,6,3,3,6,5,0,7,No
26,Travel_Rarely,1113,Sales,6,3,Medical,3,Female,65,2,3,Sales Executive,4,Married,11109,24101,2,No,16,4,3,0,16,2,4,16,15,1,0,No
38,Travel_Frequently,550,Research & Development,7,3,Marketing,3,Female,48,3,2,Research Scientist,4,Divorced,5682,20611,3,No,13,3,3,2,2,3,3,2,1,6,2,No
37,Travel_Rarely,261,Research & Development,16,2,Medical,1,Male,66,3,2,Manufacturing Director,3,Married,12530,13623,6,No,11,3,1,2,4,2,2,4,1,2,0,No
36,Travel_Rarely,1342,Sales,1,4,Life Sciences,3,Male,46,1,2,Sales Representative,1,Single,1592,23817,3,No,20,3,4,1,22,3,3,22,22,0,4,No
36,Travel_Rarely,789,Sales,3,3,Medical,4,Female,45,4,3,Sales Executive,1,Single,5692,16724,2,No,15,3,1,0,1,4,3,1,0,3,2,No
29,Travel_Rarely,949,Research & Development,19,2,Life Sciences,2,Female,87,1,1,Healthcare Representative,3,Single,6049,3815,3,Yes,12,3,3,0,8,4,3,8,7,1,2,No
54,Travel_Frequently,591,Research & Development,7,2,Technical Degree,4,Female,73,2,2,Research Scientist,3,Single,6378,20504,1,No,14,3,1,2,6,2,1,6,2,5,0,No
59,Non-Travel,381,Sales,7,2,Medical,3,Female,97,4,1,Sales Representative,3,Single,8648,25127,3,No,13,3,3,0,7,3,3,7,7,0,2,No
34,Travel_Rarely,182,Sales,5,4,Life Sciences,2,Female,78,2,3,Sales Executive,2,Married,16694,16394,2,No,17,3,3,1,3,5,3,3,0,1,3,No
54,Travel_Frequently,1250,Research & Development,7,3,Other,2,Female,80,4,2,Manufacturing Director,3,Married,7865,19664,1,No,11,3,4,3,2,3,3,2,2,3,13,Yes
56,Travel_Frequently,271,Sales,1,3,Medical,3,Female,34,3,2,Manager,2,Married,6572,19628,4,No,13,4,2,1,8,2,3,8,7,0,0,No
45,Non-Travel,1215,Sales,7,3,Life Sciences,1,Female,87,3,1,Manager,3,Married,3211,22690,2,Yes,15,3,3,0,1,3,3,1,1,0,10,No
58,Travel_Rarely,481,Research & Development,29,4,Medical,4,Male,75,3,1,Laboratory Technician,3,Single,1009,3523,2,No,11,3,4,0,3,3,3,3,3,0,2,Yes
52,Travel_Rarely,961,Human Resources,7,4,Life Sciences,4,Male,84,2,3,Human Resources,1,Single,10010,2742,1,No,14,3,4,0,1,3,2,1,0,1,0,No
35,Travel_Rarely,212,Sales,1,3,Technical Degree,2,Male,46,3,3,Sales Representative,4,Single,4859,26413,2,No,12,3,2,1,0,1,4,0,0,5,4,No
